,True clusters,SPIRAL (Jaccard index=0.05),SPIRAL (Jaccard index=0.5),SPIRAL (Jaccard index=0.75),Seurat,Slingshot+tradeSeq (nPoints=20),Slingshot+tradeSeq (nPoints=200),Hotspot (n_neighbors=30),Hotspot (n_neighbors=300),nsNMF,SingleCellHaystack (k=3),SingleCellHaystack (k=5),SingleCellHaystack (k=6)
51,"[2026, 1953, 2051, 1948, 1993, 2056]","[361, 423, 100, 574, 482, 491]","[361, 423, 100, 288, 594, 283, 574, 482, 166, 301, 443, 221, 852, 892, 496, 724, 532, 330, 466, 391, 474, 370, 422, 444, 527, 411, 602, 533, 543, 349, 612, 507, 349, 651, 394, 338, 491, 365, 619, 307, 614, 467, 726, 213]","[361, 423, 100, 378, 190, 288, 594, 283, 574, 482, 368, 568, 166, 301, 261, 443, 221, 852, 892, 496, 724, 532, 330, 466, 391, 474, 370, 422, 444, 527, 411, 602, 533, 543, 349, 612, 507, 349, 562, 651, 394, 338, 491, 365, 619, 307, 614, 467, 726, 213]","[239, 1, 479, 50, 5, 525, 174, 152, 110]","[268, 122, 52, 50, 187, 45, 33, 110, 41, 32, 43, 26, 24, 21, 21, 37, 93, 21]","[274, 104, 29, 177, 43, 43, 103, 31, 26, 60, 35, 63, 33, 87, 29, 24, 20, 20]","[544, 237, 119, 129, 64, 81, 17, 23, 58, 47, 31, 59, 18, 18, 22, 17, 34, 28, 22, 32, 21, 36, 31, 21, 42, 28, 18, 53, 27, 36, 20, 21, 22, 20, 23, 18]","[90, 149, 141, 118, 93, 63, 17, 45, 22, 27, 38, 28, 15, 16, 27, 19, 70, 18, 21, 16, 21, 27, 52, 32, 26, 30, 15, 16, 24, 16, 55, 42, 27, 20, 21, 32, 15, 31, 19, 17, 21, 21, 21, 26, 15, 36, 21, 23, 37, 38, 47, 71, 19, 31, 16, 18, 15, 23, 22, 18, 19, 37, 21, 36, 39, 41, 30, 33, 16, 27, 21, 28, 26, 16, 47, 22, 17, 17, 71, 25, 29, 15, 28, 33, 20, 27, 21, 28, 15, 17, 16, 16, 16, 20, 23, 25, 23, 17, 15, 18, 15]","[60, 52, 79, 30, 47, 21, 64, 24, 42, 103, 109, 27, 135]","[395, 322, 283]","[155, 163, 159, 240, 283]","[155, 163, 159, 240, 215, 68]"
52,"[2049, 1995, 2025, 1986, 2070, 2013]","[466, 160, 283, 540]","[466, 160, 183, 293, 283, 638, 544, 490, 323, 246, 475, 476, 273, 462, 540, 383, 435, 469, 469, 457, 503, 231, 498, 363, 676, 567, 750, 443, 416, 701, 269, 482, 487, 488, 249, 253, 286, 324, 639, 466, 393, 505, 303, 257]","[466, 160, 183, 416, 293, 283, 638, 264, 544, 490, 144, 323, 246, 475, 261, 476, 273, 462, 540, 383, 528, 435, 469, 469, 457, 503, 231, 498, 363, 676, 454, 567, 750, 443, 416, 701, 269, 482, 487, 488, 249, 253, 286, 324, 639, 466, 393, 505, 303, 257]","[2, 536, 86, 72, 215, 273, 173, 9, 696, 154]","[234, 75, 24, 51, 27, 179, 31, 122, 29, 22, 24, 22, 115, 28, 21, 33, 85, 21, 22, 21, 25, 40]","[254, 68, 59, 74, 205, 30, 23, 97, 33, 30, 20, 155, 27, 40, 21, 25, 24, 30]","[214, 67, 378, 105, 23, 312, 22, 23, 22, 33, 38, 322, 24, 43, 85, 30, 37, 15, 15, 20, 40, 16, 20, 142, 18, 45, 38, 30, 20, 37, 25, 21, 23, 16, 22, 21, 29, 43, 20, 20, 15]","[203, 58, 169, 77, 19, 127, 26, 31, 23, 26, 20, 24, 26, 15, 384, 17, 33, 111, 17, 54, 16, 35, 20, 22, 16, 16, 25, 26, 22, 46, 31, 15, 20, 22, 29, 17, 26, 18, 31, 16, 15, 15, 17, 41, 20, 25, 19, 45, 15, 40, 27, 20, 30, 15, 20, 16, 36, 50, 41, 26, 18, 24, 16, 42, 15, 28, 17, 15, 58, 24, 46, 28, 17, 16, 47, 39, 26, 59, 23, 25, 37, 44, 30, 18, 25, 15, 45, 44, 28, 25, 16, 46, 38, 38, 16, 30, 48, 31, 18, 27, 18, 21, 21, 29, 17, 24, 16, 20, 19]","[61, 166, 116, 33, 75, 46, 36, 39, 23, 39, 21, 33, 41, 30]","[449, 233, 318]","[311, 87, 138, 146, 318]","[311, 72, 138, 146, 318, 15]"
53,"[2038, 1975, 2085, 1980, 1996, 1925]","[315, 510, 337, 282, 327, 215, 441]","[315, 510, 122, 337, 369, 542, 302, 391, 251, 327, 610, 215, 577, 358, 208, 260, 292, 573, 437, 535, 581, 648, 441, 550, 791, 914, 429, 787, 850, 334, 337, 428, 358, 487, 697, 258, 608, 586, 710, 604, 524, 514, 444, 347, 386, 492]","[315, 510, 122, 176, 286, 337, 369, 542, 291, 302, 282, 391, 251, 327, 610, 215, 577, 358, 208, 260, 292, 573, 437, 535, 581, 648, 441, 550, 791, 914, 429, 787, 850, 334, 337, 428, 358, 487, 697, 258, 608, 586, 710, 604, 524, 514, 444, 347, 386, 492]","[61, 2, 493, 76, 246, 5, 546, 146, 104, 160]","[296, 66, 157, 29, 266, 38, 132, 34, 45, 23, 21, 26, 34, 38, 25, 29, 52, 20, 26, 23, 21]","[231, 55, 164, 134, 39, 51, 97, 70, 78, 64, 24, 28, 59, 33, 26, 20, 22, 21]","[526, 121, 193, 166, 63, 179, 25, 23, 19, 38, 51, 24, 33, 50, 17, 18, 34, 37, 51, 17, 31, 19, 48, 23, 29, 23, 16, 93, 15, 15, 18, 28]","[98, 128, 146, 68, 63, 50, 20, 19, 31, 17, 15, 23, 15, 18, 15, 39, 15, 28, 35, 27, 50, 57, 24, 20, 22, 37, 38, 16, 27, 21, 21, 15, 19, 15, 15, 17, 15, 16, 63, 23, 34, 22, 32, 30, 21, 35, 18, 25, 52, 32, 17, 22, 15, 26, 20, 25, 23, 26, 18, 74, 17, 36, 19, 23, 31, 24, 15, 18, 15, 15, 27, 22, 31, 42, 23, 22, 16, 19, 18, 17, 53, 35, 15, 45, 20, 84, 22, 21, 70, 28, 43, 20, 16, 32, 18, 15, 22, 15, 33, 16, 28, 31, 16, 17, 16, 26, 17, 31, 32, 20, 19, 15, 18, 15]","[61, 91, 93, 57, 57, 32, 53, 27, 31, 29, 55, 27, 39, 24, 20]","[466, 168, 366]","[93, 168, 152, 366, 221]","[93, 168, 152, 179, 221, 187]"
54,"[1960, 2048, 2070, 1949, 1983, 2032]","[322, 232, 445, 470, 249, 119, 319]","[322, 232, 445, 94, 470, 233, 191, 249, 394, 119, 275, 450, 304, 495, 450, 457, 562, 479, 477, 515, 358, 288, 350, 194, 319, 545, 410, 413, 398, 429, 556, 411, 419, 524, 672, 620, 641, 445, 652, 637]","[322, 232, 445, 170, 94, 470, 457, 233, 191, 260, 249, 286, 394, 119, 275, 529, 657, 605, 450, 694, 509, 304, 495, 450, 457, 495, 562, 479, 477, 515, 358, 288, 350, 194, 319, 545, 410, 413, 398, 429, 556, 411, 419, 524, 672, 620, 641, 445, 652, 637]","[1, 491, 64, 107, 75, 241, 3, 558, 164]","[212, 75, 65, 147, 65, 168, 131, 41, 56, 21, 30, 23, 21, 29, 20, 27, 21, 21, 30]","[229, 75, 59, 162, 51, 177, 140, 26, 33, 21, 48, 29, 38, 32, 20, 33]","[373, 28, 241, 20, 199, 173, 29, 26, 53, 22, 17, 28, 22, 18, 32, 27, 30, 37, 25, 37, 16, 18, 49, 27, 17, 21, 35, 24, 15, 17, 21, 16, 18, 27, 25, 15, 41, 20, 15, 16]","[337, 61, 24, 17, 223, 47, 17, 16, 15, 29, 15, 31, 17, 17, 19, 59, 23, 21, 22, 15, 44, 22, 21, 19, 40, 36, 40, 18, 21, 73, 16, 25, 17, 18, 16, 15, 26, 18, 23, 25, 29, 15, 19, 17, 17, 15, 17, 29, 19, 24, 57, 21, 26, 28, 39, 19, 42, 24, 21, 25, 23, 31, 43, 27, 17, 35, 32, 16, 39, 22, 38, 19, 18, 61, 15, 24, 15, 18, 42, 15, 34, 26, 40, 25, 38, 15, 42, 46, 45, 17, 20, 17, 17, 15, 24, 27, 21, 21, 22, 19, 21, 22, 23, 17, 38, 16, 20, 16, 17, 19, 31]","[40, 121, 134, 21, 20, 31, 51, 29, 58, 67, 40, 44, 55, 29, 29]","[205, 453, 342]","[205, 319, 134, 190, 152]","[205, 319, 134, 82, 152, 108]"
55,"[2066, 1971, 2087, 1953, 2020, 2037]","[333, 505, 121, 552, 317]","[333, 505, 121, 221, 552, 248, 432, 324, 344, 308, 317, 384, 558, 399, 244, 419, 595, 358, 605, 422, 345, 307, 608, 547, 513, 548, 239, 405, 153, 348, 154, 503, 302, 859, 597, 404, 431, 444, 408, 422, 793, 366, 537, 542, 453, 288]","[333, 505, 121, 176, 322, 221, 552, 248, 432, 324, 344, 308, 280, 394, 317, 384, 558, 399, 244, 419, 595, 358, 605, 422, 345, 307, 608, 547, 513, 548, 239, 405, 153, 348, 154, 503, 302, 859, 597, 404, 431, 444, 408, 422, 793, 366, 537, 542, 453, 288]","[67, 1, 538, 131, 79, 261, 192, 2, 660]","[28, 223, 243, 43, 63, 93, 110, 43, 26, 86, 38, 39, 35, 32]","[28, 21, 257, 204, 42, 23, 32, 37, 134, 108, 38, 60, 33, 21, 32, 37, 62, 47, 23, 28]","[277, 199, 70, 321, 529, 19, 31, 22, 98, 42, 17, 23, 32, 17, 26, 35, 65, 35, 63, 15, 15, 20, 15, 39, 15, 20, 40, 53, 28, 21, 16, 20, 23, 15, 17, 23, 17, 19, 19, 25, 27, 22, 17, 22]","[294, 82, 105, 154, 130, 41, 16, 17, 29, 15, 187, 41, 28, 21, 21, 44, 64, 23, 19, 29, 18, 18, 24, 16, 29, 94, 21, 15, 24, 38, 18, 28, 16, 15, 23, 17, 24, 34, 16, 29, 28, 24, 23, 35, 21, 29, 20, 65, 15, 20, 24, 16, 40, 18, 50, 25, 17, 43, 27, 24, 24, 17, 29, 16, 37, 23, 61, 39, 40, 23, 24, 26, 17, 26, 21, 16, 15, 15, 16, 16, 20, 25, 23, 31, 16, 66, 28, 48, 29, 40, 15, 32, 23, 24, 34, 47, 15, 15, 15, 28, 15, 16, 15, 18, 17, 16, 18]","[44, 105, 183, 36, 33, 28, 22, 22, 32, 72, 43, 55, 60, 23, 24, 45]","[298, 375, 327]","[96, 126, 327, 202, 249]","[88, 126, 8, 327, 202, 249]"
56,"[2069, 1964, 2039, 1967, 2136, 2019]","[341, 481, 100, 467, 197, 422]","[341, 481, 100, 168, 243, 320, 467, 197, 166, 639, 507, 368, 409, 462, 303, 302, 431, 486, 400, 566, 463, 326, 500, 424, 463, 447, 440, 293, 539, 481, 422, 673, 322, 657, 392, 572, 201, 548, 348, 604, 427, 375, 514, 389, 521, 451, 570]","[341, 481, 100, 168, 243, 320, 467, 197, 166, 639, 307, 260, 507, 368, 409, 462, 303, 302, 431, 486, 400, 411, 566, 463, 326, 500, 424, 463, 447, 440, 293, 539, 481, 422, 673, 322, 657, 392, 572, 201, 548, 348, 604, 427, 375, 514, 389, 521, 451, 570]","[206, 34, 236, 3, 574, 564, 120, 148, 173]","[81, 119, 206, 20, 220, 121, 42, 39, 75, 51, 49, 31, 46, 20, 27, 47, 23, 22, 23]","[240, 106, 21, 180, 21, 47, 38, 38, 28, 89, 49, 50, 97, 22, 63, 24, 31, 24, 57, 37, 35, 43]","[185, 188, 76, 158, 134, 22, 15, 20, 25, 262, 27, 16, 16, 17, 47, 26, 17, 16, 38, 16, 60, 34, 27, 24, 21, 34, 45, 18, 16, 33, 50, 47, 32, 16, 17, 17]","[191, 113, 94, 90, 37, 23, 18, 15, 24, 15, 25, 24, 18, 94, 29, 24, 37, 21, 33, 28, 24, 28, 16, 23, 17, 28, 21, 15, 31, 22, 17, 16, 19, 24, 19, 51, 17, 20, 16, 43, 27, 19, 31, 40, 16, 57, 25, 28, 17, 79, 30, 15, 17, 24, 24, 34, 15, 25, 23, 37, 35, 27, 15, 16, 23, 22, 24, 31, 15, 15, 37, 23, 17, 21, 32, 41, 15, 25, 15, 17, 18, 41, 84, 20, 20, 15, 19, 21, 58, 17, 26, 21, 49, 15, 25, 17, 33, 36, 17, 48, 17, 22, 29, 18, 23, 20, 29, 34, 24, 24, 37, 22, 33, 15, 16, 15, 18, 17, 18, 15, 18, 22, 16, 25, 17]","[55, 126, 139, 42, 28, 36, 33, 30, 55, 22, 35, 31, 36, 32, 36, 69]","[153, 458, 389]","[153, 125, 162, 333, 227]","[153, 125, 162, 191, 142, 227]"
57,"[1960, 1958, 1985, 2031, 2036, 1949]","[320, 493, 162, 97, 618]","[320, 493, 181, 162, 563, 257, 618, 520, 401, 326, 339, 595, 398, 464, 455, 386, 400, 393, 592, 387, 656, 445, 336, 333, 264, 598, 501, 438, 248, 606, 539, 604, 650, 697, 705, 807, 147, 264, 356, 447, 400]","[320, 493, 181, 162, 178, 324, 97, 563, 257, 618, 319, 520, 364, 401, 387, 326, 339, 595, 398, 464, 455, 441, 386, 400, 393, 592, 387, 656, 445, 336, 333, 359, 264, 598, 501, 438, 248, 606, 539, 604, 650, 697, 705, 807, 147, 264, 356, 447, 400, 333]","[77, 271, 2, 515, 62, 160, 194, 6, 672]","[70, 69, 176, 220, 24, 20, 159, 27, 77, 38, 29, 48, 63, 27, 45, 25, 26, 71, 20, 26, 20]","[76, 78, 186, 226, 37, 29, 32, 115, 101, 37, 38, 37, 26, 20, 40, 22, 23, 26, 24, 29, 56, 20]","[650, 85, 325, 441, 137, 213, 48, 15, 38, 40, 19, 17, 31, 21, 17, 29, 23, 39, 19, 60, 17, 29, 36, 21, 28, 32, 17, 16, 39, 16, 17]","[230, 78, 138, 61, 30, 15, 19, 151, 39, 23, 46, 16, 16, 26, 16, 16, 15, 15, 30, 26, 35, 17, 31, 35, 17, 19, 34, 21, 50, 16, 16, 36, 26, 23, 24, 19, 19, 15, 43, 30, 32, 36, 17, 21, 68, 15, 29, 19, 35, 38, 31, 25, 25, 34, 15, 54, 29, 23, 31, 19, 23, 44, 17, 28, 33, 20, 30, 21, 54, 16, 19, 15, 23, 45, 30, 17, 18, 23, 41, 57, 19, 17, 17, 28, 22, 18, 26, 17, 21, 26, 25, 15, 17, 16, 15]","[55, 119, 77, 45, 47, 61, 24, 59, 33, 24, 39, 45, 30, 76, 21, 31]","[419, 250, 331]","[191, 38, 331, 212, 228]","[51, 140, 38, 331, 212, 228]"
58,"[2031, 2048, 2052, 1961, 2020, 2002]","[313, 480, 299, 142, 531]","[313, 480, 163, 260, 345, 299, 244, 515, 477, 381, 436, 344, 142, 633, 499, 402, 575, 463, 635, 456, 353, 270, 492, 627, 531, 362, 373, 545, 289, 245, 354, 610, 751, 497, 625, 541, 373, 500, 663, 492, 402, 397, 276, 430, 777, 340]","[313, 480, 163, 260, 345, 299, 244, 532, 515, 477, 387, 156, 381, 436, 344, 440, 142, 633, 499, 402, 575, 463, 635, 456, 353, 270, 492, 627, 531, 362, 373, 545, 289, 245, 354, 610, 751, 497, 625, 541, 373, 500, 663, 492, 402, 397, 276, 430, 777, 340]","[185, 68, 2, 506, 120, 165, 5, 586, 197]","[254, 35, 23, 94, 150, 80, 21, 63, 104, 22, 30, 27, 48, 42, 42, 20, 24, 23, 31, 31]","[254, 38, 33, 253, 75, 23, 21, 54, 22, 117, 24, 29, 24, 21, 83, 21, 26, 51, 33, 30]","[209, 67, 96, 55, 194, 16, 16, 18, 40, 28, 280, 26, 42, 25, 28, 73, 32, 21, 56, 44, 16, 29, 15, 35, 31, 53, 31, 16, 21, 41, 20, 19, 20, 17, 15]","[208, 57, 108, 48, 102, 21, 16, 18, 229, 32, 38, 25, 19, 16, 20, 21, 34, 66, 18, 18, 16, 21, 23, 16, 18, 21, 21, 19, 21, 20, 15, 18, 31, 21, 15, 18, 15, 28, 17, 32, 45, 21, 17, 99, 24, 15, 24, 17, 37, 15, 15, 16, 24, 37, 20, 18, 21, 15, 25, 27, 64, 22, 27, 33, 49, 24, 15, 55, 55, 15, 30, 23, 18, 21, 25, 46, 27, 84, 25, 44, 28, 25, 15, 31, 58, 24, 22, 33, 16, 37, 15, 65, 29, 15, 18, 28, 46, 31, 27, 17, 22, 52, 33, 20, 18, 28, 16, 35, 20, 16, 16]","[59, 91, 106, 48, 21, 54, 30, 42, 22, 30, 35, 31, 28, 33, 26, 53, 22]","[464, 173, 363]","[280, 173, 169, 184, 194]","[280, 61, 169, 112, 184, 194]"
59,"[2047, 1970, 2032, 1967, 2037, 2005]","[422, 282, 101, 112, 592]","[422, 282, 101, 112, 342, 442, 220, 592, 339, 570, 313, 695, 737, 600, 603, 501, 522, 467, 555, 520, 345, 309, 344, 454, 370, 657, 668, 652, 274, 460, 556, 908, 562, 707, 370, 507, 1000, 690, 574, 803, 661, 315, 686]","[422, 282, 101, 328, 112, 255, 342, 442, 220, 592, 339, 570, 313, 263, 529, 406, 326, 695, 737, 589, 600, 603, 501, 522, 467, 555, 520, 345, 309, 344, 454, 370, 657, 668, 652, 274, 460, 556, 908, 562, 707, 370, 507, 1000, 690, 574, 803, 661, 315, 686]","[63, 523, 117, 258, 54, 197, 6, 599]","[24, 31, 247, 69, 184, 26, 66, 100, 122, 119, 20, 54, 27, 33, 25, 26, 53, 23, 27, 24]","[25, 33, 255, 122, 78, 177, 49, 26, 66, 95, 100, 22, 35, 34, 24, 27, 70, 20, 24, 23]","[306, 363, 61, 139, 19, 84, 269, 18, 16, 17, 19, 21, 59, 16, 18, 16, 48, 36, 55, 22, 39, 23, 22, 27, 38, 17, 15, 24, 17, 23, 15]","[185, 109, 62, 164, 20, 168, 19, 16, 243, 26, 25, 27, 24, 24, 21, 21, 16, 18, 27, 16, 35, 22, 46, 19, 19, 18, 28, 27, 19, 29, 16, 16, 81, 33, 30, 30, 19, 18, 16, 33, 15, 17, 20, 33, 16, 16, 24, 18, 32, 58, 18, 41, 15, 15, 16, 31, 16, 29, 15, 36, 47, 16, 17, 20, 44, 22, 15, 31, 30, 42, 17, 20, 26, 16, 16, 38, 18, 85, 31, 37, 15, 37, 76, 27, 18, 20, 49, 43, 15, 16, 16, 26, 27, 39, 15, 28, 20, 24, 21, 16, 19, 24, 41, 16, 15]","[108, 118, 87, 52, 59, 31, 21, 44, 45, 63, 28, 43, 43, 37, 21]","[177, 375, 448]","[54, 375, 295, 123, 153]","[54, 375, 139, 123, 156, 153]"
60,"[2025, 1984, 1923, 2092, 1998, 1991]","[422, 680, 78, 551, 220]","[422, 680, 161, 78, 211, 637, 551, 257, 360, 405, 331, 222, 350, 463, 528, 237, 396, 376, 324, 511, 493, 304, 289, 298, 651, 431, 505, 541, 497, 623, 516, 660, 662, 219, 539, 706, 640, 504, 690, 1128, 444, 818, 799, 534, 448, 346]","[422, 680, 161, 78, 211, 637, 551, 257, 360, 560, 405, 395, 331, 220, 222, 350, 463, 528, 237, 396, 376, 324, 511, 493, 304, 289, 298, 651, 431, 505, 541, 497, 623, 516, 660, 662, 219, 539, 706, 640, 504, 690, 1128, 444, 818, 446, 799, 534, 448, 346]","[1, 461, 62, 73, 217, 249, 151, 178, 3, 644]","[29, 192, 65, 159, 29, 28, 31, 64, 25, 23, 64, 29, 21, 24, 103, 48, 25, 33, 26, 57, 20, 24]","[24, 193, 78, 32, 240, 30, 22, 29, 38, 24, 36, 49, 25, 27, 101, 44, 25, 49, 20, 37, 25, 21, 31]","[354, 111, 178, 123, 156, 40, 212, 24, 22, 23, 51, 57, 16, 45, 21, 16, 25, 17, 21, 57, 26, 20, 17, 45, 27, 25, 17, 41, 35, 18, 40, 22, 19]","[137, 124, 98, 46, 301, 44, 20, 23, 15, 194, 17, 15, 26, 17, 50, 18, 17, 37, 17, 28, 26, 16, 15, 18, 18, 22, 22, 54, 24, 19, 31, 16, 55, 15, 22, 21, 24, 20, 30, 33, 29, 35, 35, 20, 37, 20, 23, 22, 20, 21, 17, 16, 16, 64, 47, 34, 22, 52, 21, 33, 18, 50, 21, 15, 33, 22, 53, 21, 15, 21, 15, 34, 36, 33, 31, 40, 31, 17, 38, 16, 29, 49, 31, 26, 35, 15, 16, 33, 17, 20, 18, 17, 27, 32, 69, 18, 17, 34, 17, 17, 42, 19, 59, 17, 16, 21, 27, 23, 16, 24, 17, 16, 17, 16, 20, 17]","[53, 95, 118, 25, 124, 42, 84, 41, 22, 35, 25, 28]","[289, 281, 430]","[163, 281, 335, 95, 126]","[163, 92, 335, 189, 95, 126]"
